gene_name,gmcsf_1,gmcsf_2,gmcsf_3,gmcsf_4,gmcsf_5,gmcsf_6,mcf7_1,mcf7_2,mcf7_3,mcf7_4,mcf7_5,mcf7_6,mda231_1,mda231_2,mda231_3,mda231_4,mda231_5,mda231_6,t47d_1,t47d_2,t47d_3,t47d_4,t47d_5,t47d_6,uivc1_1,uivc1_2,uivc1_3,uivc1_4,uivc1_5,uivc1_6,uivc4_1,uivc4_2,uivc4_3,uivc4_4,uivc4_5,uivc4_6
HP1BP3,5.930472,4.584158333,5.614958667,6.049282,5.178586667,5.786816,3.928997,3.615308667,3.687686,3.263955667,2.966338667,2.369918667,3.945742667,4.397473,3.438204,3.918736,3.180403,2.163883333,4.233485333,3.550199333,3.557238667,4.801453667,3.713788667,5.216824333,4.066685667,4.42149,4.220193,5.503822667,5.081405667,4.596034,5.543572,5.068084,4.973192667,3.255102667,4.860164,3.424211667
HPCAL1,15.77454867,16.50853767,12.324014,12.33287,15.312742,13.69126067,14.233021,10.91098367,16.986608,14.83617233,29.57351467,29.51283267,2.334799333,6.493808333,10.89483033,10.83230067,12.05357533,12.30124533,13.88948233,15.11713333,15.43277167,10.65835433,9.50186,16.33476033,12.13431133,7.846405667,10.06181833,11.95969633,11.611653,12.027632,8.661617667,9.246022,9.079302667,9.351760667,11.488354,11.09636133
HPF1,8.08118,6.744273,8.457252,8.639817,8.526486,8.709097,7.00239,6.936463,6.583654,7.164886,8.388741,8.654887,6.024803,5.682461,5.19667,6.080794,5.703749,6.17089,7.768747,7.771147,8.72621,7.908391,8.654934,8.717774,8.98312,8.518381,7.963272,7.649568,8.346905,9.457267,7.320137,7.376691,9.287584,9.267312,7.592579,7.516197
HPGD,16.75658967,16.86935833,16.94424333,17.14556967,18.20862533,17.43814517,5.472443167,5.321239,5.688626333,5.580629833,5.301755167,5.323945333,3.524432333,3.4771025,3.528205,3.368263333,3.3740875,3.689181833,5.490645667,5.763255167,5.786162833,5.711426833,6.023951833,6.088680833,7.675971167,7.113233167,6.9590355,6.577050833,7.115810167,7.807668,4.0416045,3.780508,4.775118,4.5388625,3.895261333,3.927582333
HPGDS,5.606061,6.560866,6.348904,2.858268,13.150256,6.395647,6.314753,5.629113,6.921672,2.084436,4.016253,2.530604,4.655103,1.93585,2.919534,4.996599,4.145419,1.603149,8.68464,5.005381,7.558289,8.336077,7.93796,7.56882,7.460035,2.581481,7.577784,7.810875,6.141141,7.982018,3.677094,5.121803,4.256711,1.738933,4.142153,1.917015
HPRT1,14.403762,13.275314,15.103944,14.456914,15.554556,13.407216,21.723204,21.427334,15.428568,19.949154,19.247072,23.826775,13.782192,13.169726,14.112727,13.724815,12.366508,13.444052,21.596832,11.558042,21.712444,23.5825,23.327667,24.207928,25.449638,22.886238,23.862577,24.512304,22.898916,12.149512,14.511178,17.272968,11.751109,21.754879,15.002058,18.88245
HPS1,7.94643025,7.887451,8.72562675,7.70089325,7.746541,8.05659775,7.6536475,5.26517525,8.1049065,6.82345875,7.27134175,8.08475825,6.3368225,7.53182625,6.43195675,8.620281,7.10757475,7.8094915,6.01439525,8.909767,5.76662725,7.9865675,8.50094025,7.58332225,7.9521215,7.1664205,2.24656875,8.1955765,7.38608,8.265814,8.14509175,4.61658975,5.682039,7.54894075,7.5314865,5.3971605
HPS3,2.486797,5.525095,1.852783333,2.102587667,5.529160333,2.434843667,2.450321,1.685736667,4.184406333,2.782725667,2.711315,2.525564667,1.917144667,2.531658667,1.677586667,1.656985333,1.837115333,2.517315,2.353151333,1.956955333,3.332878,1.689526,1.726120667,2.435770333,4.483367667,2.297235667,4.144673333,2.431131,4.335655,1.890095333,2.449784,2.433577667,2.933601333,5.611723333,4.766519,1.427244333
HPS5,3.642229333,5.478691667,5.047450333,4.308966667,3.376208667,4.497964667,3.370470667,4.113105333,4.515496333,4.770947667,3.905117,5.476351667,4.570411,4.382059,3.781231667,5.145102333,3.892062667,3.314014333,4.440553667,3.296175,4.220931,3.792013667,4.169853667,1.973251333,4.429100333,3.861914,1.356541667,4.033478667,4.889561667,4.220091,3.847503667,4.456818333,4.612693333,4.814578667,3.809676,4.506834667
HPS6,10.827584,11.75865,11.652342,11.841909,10.793005,10.999153,12.734573,12.632695,12.112106,12.311007,16.880232,17.122179,11.529332,9.963619,10.873784,10.438607,10.693996,11.551298,11.941777,12.002859,12.539924,12.168908,11.370102,13.072436,11.072875,11.229207,10.76559,11.509763,11.589846,11.295457,9.360544,10.534773,9.57876,8.433955,8.739929,9.564663
